Module#name from: XPath::HTML returned name(.). Fix your lib to follow normal ruby semantics!
{Module,Class}#name should return resolvable constant name as String or nil
Module#name from: XPath returned name(.). Fix your lib to follow normal ruby semantics!
{Module,Class}#name should return resolvable constant name as String or nil
#<UnboundMethod: TodoItem#belongs_to_counter_cache_after_update> is dynamically defined in a closure, unable to emit subject
#<UnboundMethod: TodoList#belongs_to_counter_cache_after_update> is dynamically defined in a closure, unable to emit subject
Mutant configuration:
Matcher:         #<Mutant::Matcher::Config match_expressions: [TodoItem,TodoList,User,TodoItemsController,TodoListsController,StaticPagesController,ApplicationController]>
Integration:     Mutant::Integration::Rspec
Expect Coverage: 100.00%
Jobs:            8
Includes:        []
Requires:        ["./config/environment"]
(00/1354) 100% - killtime: 0.00s runtime: 0.00s overhead: 0.00s
(16/1354) 100% - killtime: 5.12s runtime: 1.02s overhead: -4.10s
(32/1354) 100% - killtime: 9.81s runtime: 2.03s overhead: -7.78s
(926/1354)  98% - killtime: 375.96s runtime: 74.48s overhead: -301.49s
(934/1354)  98% - killtime: 379.60s runtime: 75.49s overhead: -304.11s
(948/1354)  98% - killtime: 385.74s runtime: 76.49s overhead: -309.25s
(958/1354)  98% - killtime: 390.25s runtime: 77.49s overhead: -312.76s
(970/1354)  98% - killtime: 395.12s runtime: 78.51s overhead: -316.61s
(975/1354)  98% - killtime: 398.57s runtime: 79.53s overhead: -319.04s
(983/1354)  98% - killtime: 406.85s runtime: 80.53s overhead: -326.32s
(990/1354)  98% - killtime: 410.82s runtime: 81.54s overhead: -329.28s
(998/1354)  98% - killtime: 417.90s runtime: 82.55s overhead: -335.35s
(1008/1354)  98% - killtime: 424.84s runtime: 83.55s overhead: -341.29s
(1017/1354)  98% - killtime: 429.75s runtime: 84.56s overhead: -345.20s
(1025/1354)  98% - killtime: 437.70s runtime: 85.56s overhead: -352.14s
(1031/1354)  98% - killtime: 440.33s runtime: 86.57s overhead: -353.76s
(1035/1354)  98% - killtime: 441.22s runtime: 87.58s overhead: -353.64s
(1043/1354)  98% - killtime: 456.72s runtime: 88.58s overhead: -368.14s
(1051/1354)  98% - killtime: 463.79s runtime: 89.59s overhead: -374.20s
(1058/1354)  98% - killtime: 469.50s runtime: 90.59s overhead: -378.91s
(1066/1354)  98% - killtime: 476.31s runtime: 91.59s overhead: -384.71s
(1073/1354)  98% - killtime: 482.33s runtime: 92.60s overhead: -389.73s
(1075/1354)  98% - killtime: 484.19s runtime: 93.60s overhead: -390.58s
(1075/1354)  98% - killtime: 484.19s runtime: 94.61s overhead: -389.58s
(1083/1354)  98% - killtime: 505.96s runtime: 95.61s overhead: -410.34s
(1086/1354)  98% - killtime: 509.05s runtime: 96.62s overhead: -412.44s
(1092/1354)  98% - killtime: 516.48s runtime: 97.62s overhead: -418.86s
(1097/1354)  98% - killtime: 521.53s runtime: 98.62s overhead: -422.91s
(1097/1354)  98% - killtime: 521.53s runtime: 99.63s overhead: -421.90s
(1104/1354)  98% - killtime: 538.14s runtime: 100.63s overhead: -437.51s
(1111/1354)  98% - killtime: 546.40s runtime: 101.64s overhead: -444.77s
(1121/1354)  98% - killtime: 553.56s runtime: 102.64s overhead: -450.92s
(1132/1354)  98% - killtime: 559.73s runtime: 103.65s overhead: -456.08s
(1139/1354)  98% - killtime: 565.57s runtime: 104.66s overhead: -460.91s
(1147/1354)  98% - killtime: 571.34s runtime: 105.67s overhead: -465.67s
(1154/1354)  98% - killtime: 576.24s runtime: 106.67s overhead: -469.57s
(1157/1354)  97% - killtime: 583.68s runtime: 107.69s overhead: -476.00s
(1165/1354)  97% - killtime: 590.45s runtime: 108.69s overhead: -481.76s
(1175/1354)  97% - killtime: 597.81s runtime: 109.70s overhead: -488.11s
(1176/1354)  97% - killtime: 602.85s runtime: 110.71s overhead: -492.14s
(1178/1354)  96% - killtime: 610.72s runtime: 111.71s overhead: -499.01s
(1180/1354)  96% - killtime: 615.99s runtime: 112.72s overhead: -503.28s
(1188/1354)  96% - killtime: 623.51s runtime: 113.72s overhead: -509.79s
(1195/1354)  96% - killtime: 628.63s runtime: 114.73s overhead: -513.90s
(1198/1354)  96% - killtime: 631.52s runtime: 115.73s overhead: -515.79s
(1198/1354)  96% - killtime: 631.52s runtime: 116.74s overhead: -514.78s
(1205/1354)  96% - killtime: 651.03s runtime: 117.74s overhead: -533.29s
(1208/1354)  95% - killtime: 660.17s runtime: 118.74s overhead: -541.43s
(1215/1354)  95% - killtime: 666.13s runtime: 119.75s overhead: -546.38s
(1222/1354)  95% - killtime: 671.81s runtime: 120.76s overhead: -551.06s
(1232/1354)  95% - killtime: 680.26s runtime: 121.76s overhead: -558.49s
(1238/1354)  95% - killtime: 685.67s runtime: 122.77s overhead: -562.89s
(1245/1354)  95% - killtime: 692.20s runtime: 123.77s overhead: -568.42s
(1253/1354)  95% - killtime: 699.19s runtime: 124.78s overhead: -574.40s
(1254/1354)  95% - killtime: 700.03s runtime: 125.79s overhead: -574.24s
(1254/1354)  95% - killtime: 700.03s runtime: 126.80s overhead: -573.24s
(1263/1354)  95% - killtime: 720.30s runtime: 127.80s overhead: -592.50s
(1270/1354)  95% - killtime: 727.32s runtime: 128.80s overhead: -598.52s
(1275/1354)  95% - killtime: 731.40s runtime: 129.81s overhead: -601.60s
(1275/1354)  95% - killtime: 731.40s runtime: 130.81s overhead: -600.60s
(1283/1354)  95% - killtime: 750.16s runtime: 131.82s overhead: -618.34s
(1294/1354)  95% - killtime: 757.50s runtime: 132.82s overhead: -624.68s
(1299/1354)  95% - killtime: 759.15s runtime: 133.83s overhead: -625.32s
TodoItem#archived?:/Users/cbeynon/Code/todos/app/models/todo_item.rb:45
- rspec:52:./spec/models/todo_item_spec.rb:4/TodoItem 
- rspec:53:./spec/models/todo_item_spec.rb:5/TodoItem 
- rspec:54:./spec/models/todo_item_spec.rb:7/TodoItem 
- rspec:55:./spec/models/todo_item_spec.rb:9/TodoItem 
- rspec:56:./spec/models/todo_item_spec.rb:10/TodoItem 
- rspec:57:./spec/models/todo_item_spec.rb:13/TodoItem complete! sets the completed_at date
- rspec:58:./spec/models/todo_item_spec.rb:21/TodoItem complete! does not change the completed_at date of complete items
- rspec:59:./spec/models/todo_item_spec.rb:31/TodoItem complete? returns true if completed_at is in the past
- rspec:60:./spec/models/todo_item_spec.rb:37/TodoItem complete? returns false if completed_at is nil
- rspec:61:./spec/models/todo_item_spec.rb:43/TodoItem complete? returns false if completed_at is in the future
- rspec:62:./spec/models/todo_item_spec.rb:51/TodoItem uncomplete sets the completed_at date to nil
- rspec:63:./spec/models/todo_item_spec.rb:62/TodoItem.due_at_in_user_zone when the due date is set
- rspec:64:./spec/models/todo_item_spec.rb:69/TodoItem.due_at_in_user_zone when the due date is nil
- rspec:65:./spec/models/todo_item_spec.rb:77/TodoItem.due_now? returns false if the item is complete
- rspec:66:./spec/models/todo_item_spec.rb:83/TodoItem.due_now? returns false if the due_at date is more than 1 day in the future
- rspec:67:./spec/models/todo_item_spec.rb:89/TodoItem.due_now? returns false if there is no due_at date
- rspec:68:./spec/models/todo_item_spec.rb:95/TodoItem.due_now? returns false if the item is overdue
- rspec:69:./spec/models/todo_item_spec.rb:101/TodoItem.due_now? returns true if the item is not not complete and the due_at date is in the past
- rspec:70:./spec/models/todo_item_spec.rb:109/TodoItem.overdue? returns false if complete? and due_at is in the past
- rspec:71:./spec/models/todo_item_spec.rb:115/TodoItem.overdue? returns false if not complete? and due_at? is nil
- rspec:72:./spec/models/todo_item_spec.rb:121/TodoItem.overdue? returns true if not complete? and due_at is in the past
- rspec:73:./spec/models/todo_item_spec.rb:127/TodoItem.overdue? returns false if not complete? and due_at is in the future
- rspec:74:./spec/models/todo_item_spec.rb:135/TodoItem.archived? returns true if completed_at is more than 1 week ago
- rspec:75:./spec/models/todo_item_spec.rb:141/TodoItem.archived? returns false if completed_at is less than 1 week ago
- rspec:76:./spec/models/todo_item_spec.rb:147/TodoItem.archived? returns false if completed_at is nil
- rspec:77:./spec/models/todo_item_spec.rb:157/TodoItem.tag_for_time returns a time.timeago element
- rspec:78:./spec/models/todo_item_spec.rb:168/TodoItem.tag_for_time returns a default value if the time field is not set
evil:TodoItem#archived?:/Users/cbeynon/Code/todos/app/models/todo_item.rb:45:30aaa
@@ -1,4 +1,4 @@
 def archived?
-  (!self[:completed_at].nil?) && (self[:completed_at] < 1.week.ago)
+  (!self[:completed_at].nil?) && (self[:completed_at] <= 1.week.ago)
 end
-----------------------
TodoItem#complete?:/Users/cbeynon/Code/todos/app/models/todo_item.rb:27
- rspec:52:./spec/models/todo_item_spec.rb:4/TodoItem 
- rspec:53:./spec/models/todo_item_spec.rb:5/TodoItem 
- rspec:54:./spec/models/todo_item_spec.rb:7/TodoItem 
- rspec:55:./spec/models/todo_item_spec.rb:9/TodoItem 
- rspec:56:./spec/models/todo_item_spec.rb:10/TodoItem 
- rspec:57:./spec/models/todo_item_spec.rb:13/TodoItem complete! sets the completed_at date
- rspec:58:./spec/models/todo_item_spec.rb:21/TodoItem complete! does not change the completed_at date of complete items
- rspec:59:./spec/models/todo_item_spec.rb:31/TodoItem complete? returns true if completed_at is in the past
- rspec:60:./spec/models/todo_item_spec.rb:37/TodoItem complete? returns false if completed_at is nil
- rspec:61:./spec/models/todo_item_spec.rb:43/TodoItem complete? returns false if completed_at is in the future
- rspec:62:./spec/models/todo_item_spec.rb:51/TodoItem uncomplete sets the completed_at date to nil
- rspec:63:./spec/models/todo_item_spec.rb:62/TodoItem.due_at_in_user_zone when the due date is set
- rspec:64:./spec/models/todo_item_spec.rb:69/TodoItem.due_at_in_user_zone when the due date is nil
- rspec:65:./spec/models/todo_item_spec.rb:77/TodoItem.due_now? returns false if the item is complete
- rspec:66:./spec/models/todo_item_spec.rb:83/TodoItem.due_now? returns false if the due_at date is more than 1 day in the future
- rspec:67:./spec/models/todo_item_spec.rb:89/TodoItem.due_now? returns false if there is no due_at date
- rspec:68:./spec/models/todo_item_spec.rb:95/TodoItem.due_now? returns false if the item is overdue
- rspec:69:./spec/models/todo_item_spec.rb:101/TodoItem.due_now? returns true if the item is not not complete and the due_at date is in the past
- rspec:70:./spec/models/todo_item_spec.rb:109/TodoItem.overdue? returns false if complete? and due_at is in the past
- rspec:71:./spec/models/todo_item_spec.rb:115/TodoItem.overdue? returns false if not complete? and due_at? is nil
- rspec:72:./spec/models/todo_item_spec.rb:121/TodoItem.overdue? returns true if not complete? and due_at is in the past
- rspec:73:./spec/models/todo_item_spec.rb:127/TodoItem.overdue? returns false if not complete? and due_at is in the future
- rspec:74:./spec/models/todo_item_spec.rb:135/TodoItem.archived? returns true if completed_at is more than 1 week ago
- rspec:75:./spec/models/todo_item_spec.rb:141/TodoItem.archived? returns false if completed_at is less than 1 week ago
- rspec:76:./spec/models/todo_item_spec.rb:147/TodoItem.archived? returns false if completed_at is nil
- rspec:77:./spec/models/todo_item_spec.rb:157/TodoItem.tag_for_time returns a time.timeago element
- rspec:78:./spec/models/todo_item_spec.rb:168/TodoItem.tag_for_time returns a default value if the time field is not set
evil:TodoItem#complete?:/Users/cbeynon/Code/todos/app/models/todo_item.rb:27:99b6f
@@ -1,4 +1,4 @@
 def complete?
-  (!self[:completed_at].nil?) && (self[:completed_at] < Time.current)
+  (!self[:completed_at].nil?) && (self[:completed_at] <= Time.current)
 end
-----------------------
TodoItem#due_now?:/Users/cbeynon/Code/todos/app/models/todo_item.rb:41
- rspec:52:./spec/models/todo_item_spec.rb:4/TodoItem 
- rspec:53:./spec/models/todo_item_spec.rb:5/TodoItem 
- rspec:54:./spec/models/todo_item_spec.rb:7/TodoItem 
- rspec:55:./spec/models/todo_item_spec.rb:9/TodoItem 
- rspec:56:./spec/models/todo_item_spec.rb:10/TodoItem 
- rspec:57:./spec/models/todo_item_spec.rb:13/TodoItem complete! sets the completed_at date
- rspec:58:./spec/models/todo_item_spec.rb:21/TodoItem complete! does not change the completed_at date of complete items
- rspec:59:./spec/models/todo_item_spec.rb:31/TodoItem complete? returns true if completed_at is in the past
- rspec:60:./spec/models/todo_item_spec.rb:37/TodoItem complete? returns false if completed_at is nil
- rspec:61:./spec/models/todo_item_spec.rb:43/TodoItem complete? returns false if completed_at is in the future
- rspec:62:./spec/models/todo_item_spec.rb:51/TodoItem uncomplete sets the completed_at date to nil
- rspec:63:./spec/models/todo_item_spec.rb:62/TodoItem.due_at_in_user_zone when the due date is set
- rspec:64:./spec/models/todo_item_spec.rb:69/TodoItem.due_at_in_user_zone when the due date is nil
- rspec:65:./spec/models/todo_item_spec.rb:77/TodoItem.due_now? returns false if the item is complete
- rspec:66:./spec/models/todo_item_spec.rb:83/TodoItem.due_now? returns false if the due_at date is more than 1 day in the future
- rspec:67:./spec/models/todo_item_spec.rb:89/TodoItem.due_now? returns false if there is no due_at date
- rspec:68:./spec/models/todo_item_spec.rb:95/TodoItem.due_now? returns false if the item is overdue
- rspec:69:./spec/models/todo_item_spec.rb:101/TodoItem.due_now? returns true if the item is not not complete and the due_at date is in the past
- rspec:70:./spec/models/todo_item_spec.rb:109/TodoItem.overdue? returns false if complete? and due_at is in the past
- rspec:71:./spec/models/todo_item_spec.rb:115/TodoItem.overdue? returns false if not complete? and due_at? is nil
- rspec:72:./spec/models/todo_item_spec.rb:121/TodoItem.overdue? returns true if not complete? and due_at is in the past
- rspec:73:./spec/models/todo_item_spec.rb:127/TodoItem.overdue? returns false if not complete? and due_at is in the future
- rspec:74:./spec/models/todo_item_spec.rb:135/TodoItem.archived? returns true if completed_at is more than 1 week ago
- rspec:75:./spec/models/todo_item_spec.rb:141/TodoItem.archived? returns false if completed_at is less than 1 week ago
- rspec:76:./spec/models/todo_item_spec.rb:147/TodoItem.archived? returns false if completed_at is nil
- rspec:77:./spec/models/todo_item_spec.rb:157/TodoItem.tag_for_time returns a time.timeago element
- rspec:78:./spec/models/todo_item_spec.rb:168/TodoItem.tag_for_time returns a default value if the time field is not set
evil:TodoItem#due_now?:/Users/cbeynon/Code/todos/app/models/todo_item.rb:41:7d276
@@ -1,4 +1,4 @@
 def due_now?
-  (((!complete?) && (!overdue?)) && (!self[:due_at].nil?)) && (self[:due_at] < 1.day.from_now)
+  (((!complete?) && (!overdue?)) && (!self[:due_at].nil?)) && (self[:due_at] <= 1.day.from_now)
 end
-----------------------
TodoItem#overdue?:/Users/cbeynon/Code/todos/app/models/todo_item.rb:37
- rspec:52:./spec/models/todo_item_spec.rb:4/TodoItem 
- rspec:53:./spec/models/todo_item_spec.rb:5/TodoItem 
- rspec:54:./spec/models/todo_item_spec.rb:7/TodoItem 
- rspec:55:./spec/models/todo_item_spec.rb:9/TodoItem 
- rspec:56:./spec/models/todo_item_spec.rb:10/TodoItem 
- rspec:57:./spec/models/todo_item_spec.rb:13/TodoItem complete! sets the completed_at date
- rspec:58:./spec/models/todo_item_spec.rb:21/TodoItem complete! does not change the completed_at date of complete items
- rspec:59:./spec/models/todo_item_spec.rb:31/TodoItem complete? returns true if completed_at is in the past
- rspec:60:./spec/models/todo_item_spec.rb:37/TodoItem complete? returns false if completed_at is nil
- rspec:61:./spec/models/todo_item_spec.rb:43/TodoItem complete? returns false if completed_at is in the future
- rspec:62:./spec/models/todo_item_spec.rb:51/TodoItem uncomplete sets the completed_at date to nil
- rspec:63:./spec/models/todo_item_spec.rb:62/TodoItem.due_at_in_user_zone when the due date is set
- rspec:64:./spec/models/todo_item_spec.rb:69/TodoItem.due_at_in_user_zone when the due date is nil
- rspec:65:./spec/models/todo_item_spec.rb:77/TodoItem.due_now? returns false if the item is complete
- rspec:66:./spec/models/todo_item_spec.rb:83/TodoItem.due_now? returns false if the due_at date is more than 1 day in the future
- rspec:67:./spec/models/todo_item_spec.rb:89/TodoItem.due_now? returns false if there is no due_at date
- rspec:68:./spec/models/todo_item_spec.rb:95/TodoItem.due_now? returns false if the item is overdue
